particle_id,in-halo,den_contrast for 12.4,den_contrast for 13.0,den_contrast for 13.6
7768526,0,-0.050965884716579875,-0.04586009871129488,-0.03898330486845196
9996223,1,-0.028449944688348477,-0.028008377520507166,-0.02789990371093122
2510128,1,-0.0460863679682521,-0.04188843670993359,-0.03655390068888628
6375102,1,-0.048366665010771276,-0.043978056787304855,-0.03794385830406064
10688515,1,-0.05389997321884234,-0.04623373938738119,-0.039031651220284076
7808224,1,-0.050232362591014205,-0.04388118698239363,-0.0380647241836411
7255958,0,-0.04954667886494205,-0.04335532232716115,-0.037774646072648174
7135759,0,-0.051189130580882376,-0.04623373938738119,-0.039031651220284076
12526954,0,-0.03922953070753003,-0.041777728361463574,-0.03840314864646613
12944200,0,-0.05348537375656609,-0.04606767686467612,-0.039031651220284076
12509774,1,-0.034381906225531236,-0.03592402443611226,-0.03272245230618835
12184170,0,-0.05050344685481022,-0.04548645803520868,-0.0388503524009135
3205188,1,-0.04217956534295693,-0.04374280154680614,-0.03878991946112328
6912555,0,-0.05045560845531682,-0.045126655902681154,-0.03887452557682962
9553121,0,-0.03989926830043775,-0.04169469710011104,-0.037001104443333765
12940351,0,-0.05299104362846747,-0.04594312997264741,-0.039031651220284076
6490421,0,-0.035721381411346675,-0.03794445179568978,-0.03535732848104061
12696518,1,-0.05236914443505315,-0.04619222375670492,-0.039031651220284076
5727812,0,-0.03278729290908421,-0.0347339096900598,-0.033097136532887504
5168010,1,-0.04866964154089616,-0.04356290048054238,-0.03854818770196258
11884739,1,-0.047122866623942654,-0.04577706744994234,-0.039031651220284076
12167850,1,-0.03460515208983385,-0.039452853043593604,-0.03752082772552937
11474427,0,-0.02746128443215133,-0.03148185195375344,-0.031151195871643424
10646054,1,-0.047106920490778116,-0.04523736425115117,-0.03901956463232607
12997277,0,-0.05401159615099359,-0.04623373938738119,-0.039031651220284076
11831893,1,-0.03769870192374097,-0.03887163421412605,-0.03569575294386564
3106157,1,-0.05409132681681597,-0.04623373938738119,-0.039031651220284076
8482016,0,-0.03305837717288023,-0.03721100898707606,-0.03765378019306772
8608705,1,-0.05402754228415802,-0.04623373938738119,-0.039031651220284076
2401921,1,-0.05383618868618439,-0.04623373938738119,-0.039031651220284076
6489916,1,-0.0373159947277937,-0.03552270667290847,-0.0341003233334046
14515300,1,-0.030124288670617772,-0.03232600311083729,-0.03350808052346076
8026895,0,-0.0501845241915208,-0.04616454666958734,-0.039031651220284076
13166825,1,-0.039054123242720944,-0.03840112373312852,-0.03544193459674684
7190904,1,-0.027206146301519855,-0.027925346259154736,-0.030111749307252102
9287199,1,-0.05048750072164579,-0.04526504133826865,-0.03893495851661974
8346156,0,-0.022773121281797298,-0.02817444004321224,-0.0328312315978107
5583614,1,-0.0367897723333662,-0.04291248893328109,-0.038669053581542934
2574918,0,-0.05330996629175689,-0.04617838521314613,-0.039031651220284076
